FGF_ligands,WNT_ligands,BMP_ligands,DELTA_ligands,TGFB_ligands,FGF_receptors,WNT_receptors,BMP_receptors,DELTA_receptors,TGFB_receptors
fgf1.L,wnt1.L,bmp10.L,dll1.L,tgfb1.L,fgfr2.L,apcdd1.L,bmpr1a.L,notch1.S,tgfbr1.S
fgf1.S,wnt1.S,bmp10.S,dll1.S,tgfb1.S,fgfr2.S,atp6ap2.L,bmpr1a.S,notch2.L,tgfbr2.L
fgf10.L,wnt11.L,bmp15.L,dll4.L,tgfb2.L,fgfr3.L,atp6ap2.S,bmpr1b.L,notch3.L,tgfbr2.S
fgf10.S,wnt2.L,bmp2.L,jag1.L,tgfb2.S,fgfr3.S,fzd1.L,bmpr1b.S,notch3.S,tgfbr3.L
fgf11.S,wnt2.S,bmp2.S,jag1.S,,fgfr4.L,fzd10.L,bmpr2.L,,tgfbr3.S
fgf12.L,wnt3.L,bmp3.L,jag2.L,,fgfr4.S,fzd10.S,bmpr2.S,,
fgf12.S,wnt3a.L,bmp3.S,jag2.S,,fgfrl1.L,fzd2.S,,,
fgf13.L,wnt3a.S,bmp4.L,,,,fzd3.L,,,
fgf13.S,wnt4.L,bmp4.S,,,,fzd3.S,,,
fgf14.S,wnt4.S,bmp5.L,,,,fzd4.S,,,
fgf16.L,wnt5a.L,bmp6.L,,,,fzd5.L,,,
fgf16.S,wnt5a.S,bmp6.S,,,,fzd5.S,,,
fgf19.L,wnt7a.S,,,,,fzd6.L,,,
fgf19.S,wnt7b.L,,,,,fzd8.L,,,
fgf2.L,,,,,,fzd8.S,,,
fgf2.S,,,,,,fzd9.L,,,
fgf20.L,,,,,,fzd9.S,,,
fgf20.S,,,,,,lrp1.L,,,
fgf21.S,,,,,,lrp1.S,,,
fgf22.L,,,,,,lrp5.L,,,
fgf3.S,,,,,,mcam.L,,,
fgf4.L,,,,,,mcam.S,,,
fgf5.S,,,,,,ror1.L,,,
fgf6.L,,,,,,ror1.S,,,
fgf7.L,,,,,,ror2.L,,,
fgf7.S,,,,,,ror2.S,,,
fgf8.L,,,,,,ryk.L,,,
fgf9.L,,,,,,ryk.S,,,
fgf9.S,,,,,,,,,
